payment_method_id,cash_id,cash_received,cash_change
4,1,1158.0,70.0
4,2,374.0,70.0
4,3,1344.0,0.0
4,4,1973.0,5.0
4,5,1808.0,80.0
4,6,1578.0,90.0
4,7,193.0,1.0
4,8,2458.0,10.0
4,9,454.0,70.0
4,10,865.0,1.0
4,11,1216.0,80.0
4,12,306.0,50.0
4,13,1490.0,50.0
4,14,1222.0,70.0
4,15,1808.0,80.0
4,16,1322.0,10.0
4,17,2536.0,40.0
4,18,1438.0,30.0
4,19,1572.0,100.0
4,20,964.0,20.0
4,21,1884.0,60.0
4,22,710.0,70.0
4,23,1156.0,100.0
4,24,722.0,50.0
4,25,1248.0,0.0
4,26,2392.0,40.0
4,27,1472.0,0.0
4,28,2048.0,0.0
4,29,1205.0,5.0
4,30,404.0,20.0
4,31,1552.0,0.0
4,32,1972.0,20.0
4,33,778.0,10.0
4,34,1925.0,5.0
4,35,816.0,0.0
4,36,1450.0,10.0
4,37,788.0,20.0
4,38,1344.0,0.0
4,39,542.0,30.0
4,40,224.0,0.0
4,41,256.0,0.0
4,42,914.0,50.0
4,43,868.0,100.0
4,44,1409.0,1.0
4,45,1498.0,90.0
4,46,1532.0,60.0
4,47,358.0,70.0
4,48,1620.0,20.0
4,49,1034.0,10.0
4,50,1521.0,1.0
4,51,1692.0,60.0
4,52,1584.0,80.0
4,53,2238.0,30.0
4,54,321.0,1.0
4,55,1190.0,70.0
4,56,1861.0,5.0
4,57,641.0,1.0
4,58,702.0,30.0
4,59,1536.0,0.0
4,60,778.0,90.0
4,61,1842.0,50.0
4,62,554.0,10.0
4,63,1098.0,10.0
4,64,2218.0,10.0
4,65,1552.0,80.0
4,66,1408.0,0.0
4,67,498.0,50.0
4,68,646.0,70.0
4,69,548.0,100.0
4,70,914.0,50.0
4,71,1534.0,30.0
4,72,1660.0,60.0
4,73,922.0,90.0
4,74,1266.0,50.0
4,75,1146.0,90.0
4,76,1194.0,10.0
4,77,1600.0,80.0
4,78,385.0,1.0
4,79,1258.0,10.0
4,80,1000.0,40.0
4,81,528.0,80.0
4,82,676.0,100.0
4,83,1396.0,20.0
4,84,576.0,0.0
4,85,1158.0,70.0
4,86,1518.0,30.0
4,87,1800.0,40.0
4,88,2340.0,100.0
4,89,960.0,0.0
4,90,262.0,70.0
4,91,672.0,80.0
4,92,773.0,5.0
